CSAT-2020 encoding fixes (pass 3)
Format: Line | Q# | Before => After

1 | Q | 🔽 Page 3 => Page 3
10 | Q | 🔽 Page 3 => Page 3
32 | Q1 | 🔽 Page 3 => Page 3
58 | Q2 | 🔽 Page 5 => Page 5
63 | Q2 | 🔽 Page 3 => Page 3
85 | Q3 | 🔽 Page 3 => Page 3
103 | Q4 | 🔽 Page 7 => Page 7
108 | Q4 | 🔽 Page 3 => Page 3
136 | Q5 | 🔽 Quant Section (Same Page) => Quant Section (Same Page)
137 | Q5 | 🔽 Page 3 => Page 3
155 | Q6 | 🔽 Page 3 => Page 3
175 | Q7 | 🔽 Page 3 => Page 3
193 | Q8 | 🔽 Page 3 => Page 3
215 | Q9 | 🔽 Page 3 => Page 3
233 | Q10 | 🔽 Page 9 => Page 9
234 | Q10 | 🔽 Page 3 => Page 3
255 | Q11 | 🔽 Page 3 => Page 3
273 | Q12 | 🔽 Page 3 => Page 3
291 | Q13 | 🔽 Page 3 => Page 3
309 | Q14 | 🔽 Page 3 => Page 3
331 | Q15 | 🔽 Page 3 => Page 3
349 | Q16 | 🔽 Page 11 => Page 11
350 | Q16 | 🔽 Page 3 => Page 3
375 | Q17 | 🔽 Page 3 => Page 3
403 | Q18 | 🔽 Page 3 => Page 3
431 | Q19 | 🔽 Page 3 => Page 3
451 | Q20 | 🔽 Page 13 => Page 13
460 | Q20 | 🔽 Page 3 => Page 3
494 | Q21 | 🔽 Page 3 => Page 3
524 | Q22 | 🔽 Page 15 => Page 15
529 | Q22 | 🔽 Page 3 => Page 3
559 | Q23 | 🔽 Page 3 => Page 3
577 | Q24 | 🔽 Page 3 => Page 3
601 | Q25 | 🔽 Page 17 => Page 17
606 | Q25 | 🔽 Page 3 => Page 3
634 | Q26 | 🔽 Page 3 => Page 3
652 | Q27 | 🔽 Page 19 => Page 19
653 | Q27 | 🔽 Page 3 => Page 3
674 | Q28 | 🔽 Page 3 => Page 3
695 | Q29 | 🔽 Page 3 => Page 3
716 | Q30 | 🔽 Page 21 => Page 21
717 | Q30 | 🔽 Page 3 => Page 3
735 | Q31 | 🔽 Page 3 => Page 3
761 | Q32 | 🔽 Page 3 => Page 3
787 | Q33 | 🔽 Page 3 => Page 3
810 | Q34 | 🔽 Page 31 => Page 31
811 | Q34 | 🔽 Page 3 => Page 3
837 | Q47 | 🔽 Page 3 => Page 3
856 | Q48 | 🔽 Page 3 => Page 3
876 | Q49 | 🔽 Page 3 => Page 3
894 | Q50 | 🔽 Page 33 => Page 33
895 | Q50 | 🔽 Page 3 => Page 3
913 | Q51 | 🔽 Page 3 => Page 3
943 | Q52 | 🔽 Page 3 => Page 3
961 | Q53 | 🔽 Page 3 => Page 3
979 | Q54 | 🔽 Page 3 => Page 3
1004 | Q55 | 🔽 Page 23 => Page 23
1005 | Q55 | 🔽 Page 3 => Page 3
1026 | Q35 | 🔽 Page 3 => Page 3
1050 | Q36 | 🔽 Page 3 => Page 3
1068 | Q37 | 🔽 Page 3 => Page 3
1091 | Q38 | 🔽 Page 3 => Page 3
1113 | Q39 | 🔽 Page 3 => Page 3
1134 | Q40 | 🔽 Page 25 (RC Set) => Page 25 (RC Set)
1139 | Q40 | 🔽 Page 3 => Page 3
1161 | Q41 | 🔽 Page 3 => Page 3
1189 | Q42 | 🔽 Page 27 => Page 27
1194 | Q42 | 🔽 Page 3 => Page 3
1227 | Q43 | 🔽 Page 3 => Page 3
1251 | Q44 | 🔽 Page 29 => Page 29
1256 | Q44 | 🔽 Page 3 => Page 3
1278 | Q45 | 🔽 Page 3 => Page 3
1300 | Q46 | 🔽 Page 35 => Page 35
1301 | Q46 | 🔽 Page 3 => Page 3
1320 | Q56 | 🔽 Page 3 => Page 3
1339 | Q57 | 🔽 Page 3 => Page 3
1357 | Q58 | 🔽 Page 3 => Page 3
1376 | Q59 | 🔽 Page 3 => Page 3
1394 | Q60 | 🔽 Page 37 => Page 37
1403 | Q60 | 🔽 Page 3 => Page 3
1425 | Q61 | 🔽 Page 3 => Page 3
1443 | Q62 | 🔽 Page 3 => Page 3
1465 | Q63 | 🔽 Page 39 => Page 39
1470 | Q63 | 🔽 Page 3 => Page 3
1496 | Q64 | 🔽 Page 3 => Page 3
1518 | Q65 | 🔽 Page 3 => Page 3
1536 | Q66 | 🔽 Page 3 => Page 3
1554 | Q67 | 🔽 Page 41 => Page 41
1555 | Q67 | 🔽 Page 3 => Page 3
1577 | Q68 | 🔽 Page 3 => Page 3
1598 | Q69 | 🔽 Page 3 => Page 3
1617 | Q70 | 🔽 Page 43 => Page 43
1618 | Q70 | 🔽 Page 3 => Page 3
1639 | Q71 | 🔽 Page 3 => Page 3
1663 | Q72 | 🔽 Page 3 => Page 3
1683 | Q73 | 🔽 Page 3 => Page 3
1702 | Q74 | 🔽 Page 3 => Page 3
1720 | Q75 | 🔽 Page 3 => Page 3
1738 | Q76 | 🔽 Page 3 => Page 3
1758 | Q77 | 🔽 Page 3 => Page 3
1777 | Q78 | 🔽 Page 3 => Page 3
1798 | Q79 | 🔽 Page 3 => Page 3
