Line 5 | Q | Passage â€“ 1 => Passage – 1
Line 11 | Q | Parents and children expect that such â€˜graduatesâ€™ from school will go on to high school and college. Hardly anyone wants to go back to agriculture. On the other hand, abilities in terms of academic competencies are far lower than they should be even based on curricular expectations of class 8. => Parents and children expect that such ‘graduates’ from school will go on to high school and college. Hardly anyone wants to go back to agriculture. On the other hand, abilities in terms of academic competencies are far lower than they should be even based on curricular expectations of class 8.
Line 19 | Q21 | School curriculum that conforms to todayâ€™s requirements and is uniform for the entire country may address the issues brought out. => School curriculum that conforms to today’s requirements and is uniform for the entire country may address the issues brought out.
Line 34 | Q22 | (b) Monetary incentives to parents and teachers is a strategy to improve the childrenâ€™s academic performance. => (b) Monetary incentives to parents and teachers is a strategy to improve the children’s academic performance.
Line 40 | Q22 | Passage â€“ 2 => Passage – 2
Line 50 | Q22 | Passage â€“ 1 => Passage – 1
Line 56 | Q22 | The energy spent over wasted food results in about 3â€“5 billion tonnes of carbon dioxide production every year. Decay also leads to harmful emissions of other gases in the atmosphere. => The energy spent over wasted food results in about 3–5 billion tonnes of carbon dioxide production every year. Decay also leads to harmful emissions of other gases in the atmosphere.
Line 94 | Q2 | Passage â€“ 2 => Passage – 2
Line 147 | Q6 | In the expression 5 * 4 * 3 * 2 * 1, * is chosen from +, âˆ’, Ã— each at most two times. => In the expression 5 * 4 * 3 * 2 * 1, * is chosen from +, -, × each at most two times.
Line 186 | Q9 | 1Â² Ã— 2â´ Ã— 3â¶ Ã— 4â¸ Ã— â€¦ Ã— 25âµâ° ? => 1² × 24 × 36 × 48 × … × 255° ?
Line 195 | Q10 | On January 1st, 2023, a person saved â‚¹1. => On January 1st, 2023, a person saved ?1.
Line 196 | Q10 | On January 2nd, he saved â‚¹2 more than the previous day. => On January 2nd, he saved ?2 more than the previous day.
Line 197 | Q10 | On January 3rd, he saved â‚¹2 more than the previous day, and so on. => On January 3rd, he saved ?2 more than the previous day, and so on.
Line 210 | Q10 | Passage â€“ 1 => Passage – 1
Line 247 | Q12 | Passage â€“ 2 => Passage – 2
Line 253 | Q12 | If political discourse in the digital sphere is a matter of outshining oneâ€™s opponent till the election is won, then the quality of politics suffers. => If political discourse in the digital sphere is a matter of outshining one’s opponent till the election is won, then the quality of politics suffers.
Line 267 | Q13 | (d) In todayâ€™s world, social media are inevitable for well-informed social life. => (d) In today’s world, social media are inevitable for well-informed social life.
Line 397 | Q25 | P puts â‚¹14,000 more than Q, but P has invested for 8 months and Q has invested for 10 months. => P puts ?14,000 more than Q, but P has invested for 8 months and Q has invested for 10 months.
Line 399 | Q25 | If Pâ€™s share is â‚¹400 more than Qâ€™s share out of the total profit of â‚¹2,000, what is the capital contributed by P? => If P’s share is ?400 more than Q’s share out of the total profit of ?2,000, what is the capital contributed by P?
Line 401 | Q25 | (a) â‚¹30,000 => (a) ?30,000
Line 402 | Q25 | (b) â‚¹26,000 => (b) ?26,000
Line 403 | Q25 | (c) â‚¹24,000 => (c) ?24,000
Line 404 | Q25 | (d) â‚¹20,000 => (d) ?20,000
Line 408 | Q26 | Pâ€™s salary is 20% lower than Qâ€™s salary, which is 20% lower than Râ€™s salary. => P’s salary is 20% lower than Q’s salary, which is 20% lower than R’s salary.
Line 410 | Q26 | By how much percent is Râ€™s salary more than Pâ€™s salary? => By how much percent is R’s salary more than P’s salary?
Line 449 | Q29 | â€œn years back I was as old as you are now. => “n years back I was as old as you are now.
Line 450 | Q29 | My present age is four times your age n years back.â€ => My present age is four times your age n years back.”
Line 463 | Q30 | 1000 litres = 1 mÂ³ => 1000 litres = 1 m³
Line 467 | Q30 | 1 hectare = 10000 mÂ² => 1 hectare = 10000 m²
Line 480 | Q30 | Passage â€“ 1 => Passage – 1
Line 482 | Q30 | â€œThe history of science is the real history of mankind.â€ => “The history of science is the real history of mankind.”
Line 492 | Q30 | Science and mankind cannot be divorced from time to time at menâ€™s convenience. => Science and mankind cannot be divorced from time to time at men’s convenience.
Line 526 | Q32 | Passage â€“ 2 => Passage – 2
Line 611 | Q39 | (p âˆ’ r)Â²(qs) is even => (p - r)²(qs) is even
Line 613 | Q39 | (q âˆ’ s)qÂ²s is even => (q - s)q²s is even
Line 615 | Q39 | (q + r)Â²(p + s) is odd => (q + r)²(p + s) is odd
Line 628 | Q40 | (a) 12.5Â° => (a) 12.5°
Line 629 | Q40 | (b) 15Â° => (b) 15°
Line 630 | Q40 | (c) 17.5Â° => (c) 17.5°
Line 631 | Q40 | (d) 20Â° => (d) 20°
Line 637 | Q40 | Passage â€“ 1 => Passage – 1
Line 677 | Q42 | Passage â€“ 2 => Passage – 2
Line 722 | Q46 | 1, 1, 2, 1, 3, 2, 1, 4, 3, 2, 1, 5, 4, 3, 2, â€¦ => 1, 1, 2, 1, 3, 2, 1, 4, 3, 2, 1, 5, 4, 3, 2, …
Line 731 | Q47 | A person buys three articles P, Q and R for â‚¹3330. => A person buys three articles P, Q and R for ?3330.
Line 735 | Q47 | (a) â‚¹1000 => (a) ?1000
Line 736 | Q47 | (b) â‚¹1200 => (b) ?1200
Line 737 | Q47 | (c) â‚¹1250 => (c) ?1250
Line 738 | Q47 | (d) â‚¹1350 => (d) ?1350
Line 783 | Q50 | Passage â€“ 1 => Passage – 1
Line 785 | Q50 | When an international team of scientists pumped a carbon dioxide and water mix into underground basalt rocks, basic chemistry took over. The acidic mixture dissolved rocksâ€™ calcium and magnesium and formed limestone. Basically carbon dioxide is converted into stone, exclaimed the scientists. => When an international team of scientists pumped a carbon dioxide and water mix into underground basalt rocks, basic chemistry took over. The acidic mixture dissolved rocks’ calcium and magnesium and formed limestone. Basically carbon dioxide is converted into stone, exclaimed the scientists.
Line 799 | Q51 | Passage â€“ 2 => Passage – 2
Line 801 | Q51 | Geographers analyzed 175 satellite images of ocean colour, which is an indicator of phytoplankton productivity at the oceanâ€™s surface, and found that giant icebergs are responsible for storing up to 20 percent of carbon in the Southern Ocean. => Geographers analyzed 175 satellite images of ocean colour, which is an indicator of phytoplankton productivity at the ocean’s surface, and found that giant icebergs are responsible for storing up to 20 percent of carbon in the Southern Ocean.
Line 820 | Q52 | Passage â€“ 3 => Passage – 3
