Line 5 | Q | Passage â€“ 1 => Passage – 1
Line 7 | Q | The main threat to maintaining progress in human development comes from the increasingly evident unsustainability of production and consumption patterns. Current production models rely heavily on fossil fuels. We now know that this is unsustainable because the resources are finite. The close link between economic growth and greenhouse gas emissions needs to be severed for human development to become truly sustainable. Some developed countries have begun to alleviate the worst effects by expanding recycling and investing in public transport and infrastructure. But most developing countries are hampered by the high costs and low availability of clean energy sources. Developed countries need to support developing countriesâ€™ transition to sustainable human development. => The main threat to maintaining progress in human development comes from the increasingly evident unsustainability of production and consumption patterns. Current production models rely heavily on fossil fuels. We now know that this is unsustainable because the resources are finite. The close link between economic growth and greenhouse gas emissions needs to be severed for human development to become truly sustainable. Some developed countries have begun to alleviate the worst effects by expanding recycling and investing in public transport and infrastructure. But most developing countries are hampered by the high costs and low availability of clean energy sources. Developed countries need to support developing countries’ transition to sustainable human development.
Line 30 | Q2 | Developed countries can support developing countriesâ€™ transition to sustainable human development by => Developed countries can support developing countries’ transition to sustainable human development by
Line 45 | Q2 | Passage â€“ 2 => Passage – 2
Line 47 | Q2 | Unless the forces and tendencies which are responsible for destroying the countryâ€™s environment are checked in the near future and afforestation of denuded areas is taken up on a massive scale, the harshness of the climatic conditions and soil erosion by wind and water will increase to such an extent that agriculture, which is the mainstay of our people, will gradually become impossible. The desert countries of the world and our own desert areas in Rajasthan are a grim reminder of the consequences of large-scale deforestation. Pockets of desert-like landscape are now appearing in other parts of the country including the Sutlej-Ganga Plains and the Deccan Plateau. Where only a few decades back there used to be lush green forests with perennial streams and springs, there is only brown earth, bare of vegetation, without any water in the streams and springs except in the rainy season. => Unless the forces and tendencies which are responsible for destroying the country’s environment are checked in the near future and afforestation of denuded areas is taken up on a massive scale, the harshness of the climatic conditions and soil erosion by wind and water will increase to such an extent that agriculture, which is the mainstay of our people, will gradually become impossible. The desert countries of the world and our own desert areas in Rajasthan are a grim reminder of the consequences of large-scale deforestation. Pockets of desert-like landscape are now appearing in other parts of the country including the Sutlej-Ganga Plains and the Deccan Plateau. Where only a few decades back there used to be lush green forests with perennial streams and springs, there is only brown earth, bare of vegetation, without any water in the streams and springs except in the rainy season.
Line 105 | Q8 | A bill for â‚¹ 1,840 is paid in the denominations of â‚¹ 50, â‚¹ 20 and â‚¹ 10 notes. 50 notes in all are used. Consider the following statements: => A bill for ? 1,840 is paid in the denominations of ? 50, ? 20 and ? 10 notes. 50 notes in all are used. Consider the following statements:
Line 107 | Q8 | 25 notes of â‚¹ 50 are used and the remaining are in the denominations of â‚¹ 20 and â‚¹ 10. => 25 notes of ? 50 are used and the remaining are in the denominations of ? 20 and ? 10.
Line 109 | Q8 | 35 notes of â‚¹ 20 are used and the remaining are in the denominations of â‚¹ 50 and â‚¹ 10. => 35 notes of ? 20 are used and the remaining are in the denominations of ? 50 and ? 10.
Line 111 | Q8 | 20 notes of â‚¹ 10 are used and the remaining are in the denominations of â‚¹ 50 and â‚¹ 20. => 20 notes of ? 10 are used and the remaining are in the denominations of ? 50 and ? 20.
Line 188 | Q12 | Why is the methodology adopted in India to count the â€˜poorâ€™ debatable? => Why is the methodology adopted in India to count the ‘poor’ debatable?
Line 190 | Q12 | (a) There is some confusion regarding what should constitute the â€˜poverty lineâ€™. => (a) There is some confusion regarding what should constitute the ‘poverty line’.
Line 197 | Q13 | Why is income poverty only one measure of counting the â€˜poorâ€™? => Why is income poverty only one measure of counting the ‘poor’?
Line 206 | Q14 | What does the author mean by â€˜poverty of a lifeâ€™? => What does the author mean by ‘poverty of a life’?
Line 276 | Q20 | In some places in the world, the productivity of staples such as rice and wheat has reached a plateau. Neither new strains nor fancy agrochemicals are raising the yields. Nor is there much unfarmed land left that is suitable to be brought under the plough. If global temperature continues to rise, some places will become unsuitable for farming. Application of technology can help overcome these problems. Agricultural technology is changing fast. Much of this change is brought about by affluent farmers in the West/Americas. Techniques developed in the West are being adapted in some places to make tropical crops more productive. Technology is of little use if it is not adapted. In the developing world, that applies as much to existing farming techniques as it does to the latest advances in genetic modification. Extending to the smallholders and subsistence farmers of Africa and Asia the best of todayâ€™s agricultural practices, in such simple matters as how much fertilizers to apply and when, would lead to a greatly increased availability of food for humanity. So would things like better roads and storage facilities, to allow for the carriage of surpluses to markets and reduce wastage. => In some places in the world, the productivity of staples such as rice and wheat has reached a plateau. Neither new strains nor fancy agrochemicals are raising the yields. Nor is there much unfarmed land left that is suitable to be brought under the plough. If global temperature continues to rise, some places will become unsuitable for farming. Application of technology can help overcome these problems. Agricultural technology is changing fast. Much of this change is brought about by affluent farmers in the West/Americas. Techniques developed in the West are being adapted in some places to make tropical crops more productive. Technology is of little use if it is not adapted. In the developing world, that applies as much to existing farming techniques as it does to the latest advances in genetic modification. Extending to the smallholders and subsistence farmers of Africa and Asia the best of today’s agricultural practices, in such simple matters as how much fertilizers to apply and when, would lead to a greatly increased availability of food for humanity. So would things like better roads and storage facilities, to allow for the carriage of surpluses to markets and reduce wastage.
Line 384 | Q29 | In the series AABABCABCDABCDEâ€¦, which letter appears at the 100th place? => In the series AABABCABCDABCDE…, which letter appears at the 100th place?
Line 439 | Q33 | Darwinâ€™s theory explains all the natural phenomena. => Darwin’s theory explains all the natural phenomena.
Line 470 | Q36 | Pâ€™s daughter is T and Râ€™s son is P. There are two couples in the family. => P’s daughter is T and R’s son is P. There are two couples in the family.
Line 610 | Q45 | Each notebook costs â‚¹40. Total cost? => Each notebook costs ?40. Total cost?
Line 612 | Q45 | (a) â‚¹2,600 => (a) ?2,600
Line 613 | Q45 | (b) â‚¹2,400 => (b) ?2,400
