Line 5 | Q | Passage � 1 => Passage ? 1
Line 7 | Q | Researchers simulated street lighting on artificial grassland plots containing pea-aphids, sap-sucking insects, at night. These were exposed to two different types of light � a white light similar to newer commercial LED lights and an amber light similar to sodium street lamps. The low intensity amber light was shown to inhibit, rather than induce, flowering in a wild plant of the pea family which is a source of food for the pea-aphids in grasslands. The number of aphids was also significantly suppressed under the light treatment due to the limited amount of food available. => Researchers simulated street lighting on artificial grassland plots containing pea-aphids, sap-sucking insects, at night. These were exposed to two different types of light ? a white light similar to newer commercial LED lights and an amber light similar to sodium street lamps. The low intensity amber light was shown to inhibit, rather than induce, flowering in a wild plant of the pea family which is a source of food for the pea-aphids in grasslands. The number of aphids was also significantly suppressed under the light treatment due to the limited amount of food available.
Line 18 | Q1 | Passage � 2 => Passage ? 2
Line 20 | Q1 | Approximately 80 percent of all flowering plant species are pollinated by animals, including birds and mammals, but the main pollinators are insects. Pollination is responsible for providing us with a wide variety of food, as well as many plant-derived medicines. At least one-third of the world�s agricultural crops depend upon pollination. Bees are the most dominant taxa when it comes to pollination and they are crucial to more than four hundred crops. Pollination is an essential service that is the result of intricate relationships between plants and animals, and the reduction or loss of either affects the survival of both. Effective pollination requires resources, such as refuges of pristine natural vegetation. => Approximately 80 percent of all flowering plant species are pollinated by animals, including birds and mammals, but the main pollinators are insects. Pollination is responsible for providing us with a wide variety of food, as well as many plant-derived medicines. At least one-third of the world?s agricultural crops depend upon pollination. Bees are the most dominant taxa when it comes to pollination and they are crucial to more than four hundred crops. Pollination is an essential service that is the result of intricate relationships between plants and animals, and the reduction or loss of either affects the survival of both. Effective pollination requires resources, such as refuges of pristine natural vegetation.
Line 26 | Q2 | Sustainable production of India�s cereal food grains is impossible without the diversity of pollinating animals. => Sustainable production of India?s cereal food grains is impossible without the diversity of pollinating animals.
Line 41 | Q2 | Passage � 3 => Passage ? 3
Line 54 | Q3 | Passage � 4 => Passage ? 4
Line 102 | Q7 | 80 + 0.1m, where m = 1, 2, 3, �, 100 and thereafter remains constant. => 80 + 0.1m, where m = 1, 2, 3, ?, 100 and thereafter remains constant.
Line 155 | Q10 | Passage � 1 => Passage ? 1
Line 178 | Q11 | Passage � 2 => Passage ? 2
Line 180 | Q11 | At the heart of agroecology is the idea that agroecosystems should mimic the biodiversity levels and functioning of natural ecosystems. Such agricultural mimics, like their natural models, can be productive, pest-resistant, nutrient conserving, and resilient to shocks and stresses. In ecosystems there is no �waste�, nutrients are recycled indefinitely. Agroecology aims at closing nutrient loops, i.e., returning all nutrients that come out of the soil back to the soil such as through application of farmyard manure. It also harnesses natural processes to control pests and build soil fertility i.e., through intercropping. Agroecological practices include integrating trees with livestock and crops. => At the heart of agroecology is the idea that agroecosystems should mimic the biodiversity levels and functioning of natural ecosystems. Such agricultural mimics, like their natural models, can be productive, pest-resistant, nutrient conserving, and resilient to shocks and stresses. In ecosystems there is no ?waste?, nutrients are recycled indefinitely. Agroecology aims at closing nutrient loops, i.e., returning all nutrients that come out of the soil back to the soil such as through application of farmyard manure. It also harnesses natural processes to control pests and build soil fertility i.e., through intercropping. Agroecological practices include integrating trees with livestock and crops.
Line 205 | Q12 | Passage � 3 => Passage ? 3
Line 207 | Q12 | Computers increasingly deal not just with abstract data like credit card details and databases, but also with the real world of physical objects and vulnerable human bodies. A modern car is a computer on wheels; an aeroplane is a computer on wings. The arrival of the �Internet of Things� will see computers baked into everything from road signs and MRI scanners to prosthetics and insulin pumps. There is little evidence that these gadgets will be any more trustworthy than their desktop counterparts. Hackers have already proved that they can take remote control of internet connected cars and pacemakers. => Computers increasingly deal not just with abstract data like credit card details and databases, but also with the real world of physical objects and vulnerable human bodies. A modern car is a computer on wheels; an aeroplane is a computer on wings. The arrival of the ?Internet of Things? will see computers baked into everything from road signs and MRI scanners to prosthetics and insulin pumps. There is little evidence that these gadgets will be any more trustworthy than their desktop counterparts. Hackers have already proved that they can take remote control of internet connected cars and pacemakers.
Line 218 | Q13 | Passage � 4 => Passage ? 4
Line 309 | Q20 | (a) An angle less than 45� South of East => (a) An angle less than 45? South of East
Line 310 | Q20 | (b) An angle less than 45� North of East => (b) An angle less than 45? North of East
Line 311 | Q20 | (c) An angle more than 45� South of East => (c) An angle more than 45? South of East
Line 312 | Q20 | (d) An angle more than 45� North of East => (d) An angle more than 45? North of East
Line 318 | Q20 | Passage � 1 => Passage ? 1
Line 328 | Q21 | (a) India�s energy decision-making process is ever more complex and interconnected. => (a) India?s energy decision-making process is ever more complex and interconnected.
Line 329 | Q21 | (b) India�s energy and climate policy is heavily tuned to sustainable development goals. => (b) India?s energy and climate policy is heavily tuned to sustainable development goals.
Line 330 | Q21 | (c) India�s energy and climate actions are not compatible with its broader social, economic and environmental goals. => (c) India?s energy and climate actions are not compatible with its broader social, economic and environmental goals.
Line 331 | Q21 | (d) India�s energy decision-making process is straightforward supply-oriented and ignores the demand side. => (d) India?s energy decision-making process is straightforward supply-oriented and ignores the demand side.
Line 333 | Q21 | Passage � 2 => Passage ? 2
Line 335 | Q21 | There are reports that some of the antibiotics sold in the market are fed to poultry and other livestock as growth promoters. Overusing these substances can create superbugs, pathogens that are resistant to multiple drugs and could be passed along humans. Mindful of that, some farming companies have stopped using the drugs to make chickens gain weight faster. Since Denmark banned antibiotic growth promoters in the 1990s, the major pork exporter says it is producing more pigs � and the animals get fewer diseases. => There are reports that some of the antibiotics sold in the market are fed to poultry and other livestock as growth promoters. Overusing these substances can create superbugs, pathogens that are resistant to multiple drugs and could be passed along humans. Mindful of that, some farming companies have stopped using the drugs to make chickens gain weight faster. Since Denmark banned antibiotic growth promoters in the 1990s, the major pork exporter says it is producing more pigs ? and the animals get fewer diseases.
Line 346 | Q22 | Passage � 3 => Passage ? 3
Line 365 | Q23 | Passage � 4 => Passage ? 4
Line 367 | Q23 | A central message of modern development economics is the importance of income growth, by which is meant growth in Gross Domestic Product (GDP). In theory, rising GDP creates employment and investment opportunities. As incomes grow in a country where the level of GDP was once low, households, communities, and governments are increasingly able to set aside some funds for the production of things that make for a good life. Today GDP has assumed such a significant place in the development lexicon, that if someone mentions �economic growth�, we know they mean growth in GDP. => A central message of modern development economics is the importance of income growth, by which is meant growth in Gross Domestic Product (GDP). In theory, rising GDP creates employment and investment opportunities. As incomes grow in a country where the level of GDP was once low, households, communities, and governments are increasingly able to set aside some funds for the production of things that make for a good life. Today GDP has assumed such a significant place in the development lexicon, that if someone mentions ?economic growth?, we know they mean growth in GDP.
Line 463 | Q30 | Passage � 1 => Passage ? 1
Line 465 | Q30 | With respect to what are called denominations of religion, if everyone is left to be a judge of his own religion, there is no such thing as religion that is wrong; but if they are to be a judge of each other�s religion, there is no such thing as a religion that is right, and therefore all the world is right or all the world is wrong in the matter of religion. => With respect to what are called denominations of religion, if everyone is left to be a judge of his own religion, there is no such thing as religion that is wrong; but if they are to be a judge of each other?s religion, there is no such thing as a religion that is right, and therefore all the world is right or all the world is wrong in the matter of religion.
Line 472 | Q31 | (b) It is the duty of everyone to propagate one�s religious denomination. => (b) It is the duty of everyone to propagate one?s religious denomination.
Line 476 | Q31 | Passage � 2 => Passage ? 2
Line 478 | Q31 | It is certain, that seditions, wars, and contempt or breach of the laws are not so much to be imputed to the wickedness of the subjects, as to the bad state of a dominion. For men are not born fit for citizenship, but must be made so. Besides, men�s natural passions are everywhere the same; and if wickedness more prevails, and more offences are committed in one commonwealth than in another, it is certain that the former has neither enough pursued the end of unity, nor framed its laws with sufficient forethought; and that, therefore, it has failed in making quite good its right as a commonwealth. => It is certain, that seditions, wars, and contempt or breach of the laws are not so much to be imputed to the wickedness of the subjects, as to the bad state of a dominion. For men are not born fit for citizenship, but must be made so. Besides, men?s natural passions are everywhere the same; and if wickedness more prevails, and more offences are committed in one commonwealth than in another, it is certain that the former has neither enough pursued the end of unity, nor framed its laws with sufficient forethought; and that, therefore, it has failed in making quite good its right as a commonwealth.
Line 489 | Q32 | Passage � 3 => Passage ? 3
Line 512 | Q33 | Passage � 4 (FULL, EXACT TEXT) => Passage ? 4 (FULL, EXACT TEXT)
Line 514 | Q33 | Aristocratic government ruins itself by limiting too narrowly the circle within which power is confined; oligarchic government ruins itself by the incautious scramble for immediate wealth. But even democracy ruins itself by excess of democracy. Its basic principle is the equal right of all to hold office and determine public policy. This is, at first glance, a delightful arrangement; it becomes disastrous because the people are not properly equipped by education to select the best rulers and disastrous because the people are not properly equipped by education to select the best rulers and the wisest courses. The people have no understanding and only repeat what their rulers are pleased to tell them. Such a democracy is tyranny or autocracy. � Plato => Aristocratic government ruins itself by limiting too narrowly the circle within which power is confined; oligarchic government ruins itself by the incautious scramble for immediate wealth. But even democracy ruins itself by excess of democracy. Its basic principle is the equal right of all to hold office and determine public policy. This is, at first glance, a delightful arrangement; it becomes disastrous because the people are not properly equipped by education to select the best rulers and disastrous because the people are not properly equipped by education to select the best rulers and the wisest courses. The people have no understanding and only repeat what their rulers are pleased to tell them. Such a democracy is tyranny or autocracy. ? Plato
Line 578 | Q38 | Question: What is Seema�s rank from the top in the class of 40 students? => Question: What is Seema?s rank from the top in the class of 40 students?
Line 733 | Q50 | What is the value of �X� in the sequence => What is the value of ?X? in the sequence
Line 741 | Q50 | Passage � 1 => Passage ? 1
