CSAT-2019 encoding fixes
Format: Line | Q# | Before => After

5 | Q | Passage—1 => Passage-1
13 | Q | Passage—1 => Passage-1
30 | Q1 | Passage—1 => Passage-1
48 | Q2 | Passage—2 => Passage-2
50 | Q2 | Education plays a great transformative role in life, particularly so in this rapidly changing and globalizing world. Universities are the custodians of the intellectual capital and promoters of culture and specialized knowledge. Culture is an activity of thought, and receptiveness to beauty and human feelings. A merely well informed man is only a bore on God’s earth. What we should aim at is producing men who possess both culture and expert knowledge. Their expert knowledge will give them a firm ground to start from and their culture will lead them as deep as philosophy and as high as art. Together it will impart meaning to human existence. => Education plays a great transformative role in life, particularly so in this rapidly changing and globalizing world. Universities are the custodians of the intellectual capital and promoters of culture and specialized knowledge. Culture is an activity of thought, and receptiveness to beauty and human feelings. A merely well informed man is only a bore on God's earth. What we should aim at is producing men who possess both culture and expert knowledge. Their expert knowledge will give them a firm ground to start from and their culture will lead them as deep as philosophy and as high as art. Together it will impart meaning to human existence.
57 | Q2 | Passage—1 => Passage-1
67 | Q3 | Without acquiring culture, a person’s education is not complete. => Without acquiring culture, a person's education is not complete.
76 | Q3 | Passage—3 => Passage-3
78 | Q3 | Soil, in which nearly all our food grows, is a living resource that takes years to form. Yet it can vanish in minutes. Each year 75 billion tonnes of fertile soil is lost to erosion. That is alarming—and not just for food producers. Soil can trap huge quantities of carbon dioxide in the form of organic carbon and prevent it from escaping into the atmosphere. => Soil, in which nearly all our food grows, is a living resource that takes years to form. Yet it can vanish in minutes. Each year 75 billion tonnes of fertile soil is lost to erosion. That is alarming-and not just for food producers. Soil can trap huge quantities of carbon dioxide in the form of organic carbon and prevent it from escaping into the atmosphere.
85 | Q3 | Passage—1 => Passage-1
105 | Q4 | Passage—4 => Passage-4
114 | Q4 | Passage—1 => Passage-1
135 | Q5 | Passage—5 => Passage-5
137 | Q5 | Climate change may actually benefit some plants by lengthening growing seasons and increasing carbon dioxide. Yet other effects of a warmer world, such as more pests, droughts, and flooding, will be less benign. How will the world adapt? Researchers project that by 2050, suitable croplands for four commodities—maize, potatoes, rice and wheat—will shift, in some cases pushing farmers to plant new crops. Some farmlands may benefit from warming, but others won’t. Climate alone does not dictate yields; political shifts, global demand, and agricultural practices will influence how farms fare in the future. => Climate change may actually benefit some plants by lengthening growing seasons and increasing carbon dioxide. Yet other effects of a warmer world, such as more pests, droughts, and flooding, will be less benign. How will the world adapt? Researchers project that by 2050, suitable croplands for four commodities-maize, potatoes, rice and wheat-will shift, in some cases pushing farmers to plant new crops. Some farmlands may benefit from warming, but others won't. Climate alone does not dictate yields; political shifts, global demand, and agricultural practices will influence how farms fare in the future.
144 | Q5 | Passage—1 => Passage-1
156 | Q6 | Passage—6 => Passage-6
158 | Q6 | A bat’s wings may look like sheets of skin. But underneath, a bat has the same five fingers as an orangutan or a human, as well as a wrist connected to the same cluster of wrist bones connected to the same long bones of the arm. What can be more curious than that the hand of a man, formed for grasping, that of a mole for digging, the leg of the horse, the paddle of the porpoise, and the wing of the bat, should all be constructed on the same pattern? => A bat's wings may look like sheets of skin. But underneath, a bat has the same five fingers as an orangutan or a human, as well as a wrist connected to the same cluster of wrist bones connected to the same long bones of the arm. What can be more curious than that the hand of a man, formed for grasping, that of a mole for digging, the leg of the horse, the paddle of the porpoise, and the wing of the bat, should all be constructed on the same pattern?
165 | Q6 | Passage—1 => Passage-1
178 | Q7 | Passage—7 => Passage-7
