"concept","count","batch"
"Stressed Assets Resolution","1","batch2"
"Public-Private Partnerships","1","batch2"
"World Bank Initiatives","1","batch2"
"Banking Reforms","1","batch2"
"Cloning","1","batch2"
"Biotechnology","1","batch2"
"S4A Scheme","1","batch2"
"Multilateral Financing Institutions","1","batch2"
"Adjournment Motion","1","batch2"
"Question Hour","1","batch2"
"Parliamentary Accountability","1","batch2"
"Supplementary Questions","1","batch2"
"Maritime Trade","1","batch2"
"Kakatiya Kingdom","1","batch2"
"Medieval Ports & Trade","1","batch2"
"Article 356","1","batch2"
"President's Rule","1","batch2"
"Public-Private Participation in Education","1","batch2"
"State Governance","1","batch2"
"Cabinet Government","1","batch2"
"Collective Responsibility","1","batch2"
"Parliamentary System","1","batch2"
"Vidyanjali Scheme","1","batch2"
"Chabahar Port","1","batch2"
"India's Maritime Strategy","1","batch2"
"Somatic Cell Nuclear Transfer","1","batch2"
"Regional Connectivity","1","batch2"
"Gravitational Waves","1","batch2"
"eLISA Mission","1","batch2"
"Space-based Gravitational Wave Astronomy","1","batch2"
"Fundamental Rights","1","batch2"
"Air Quality Index","1","batch2"
"Air Pollution & AQI","1","batch2"
"Environmental Safety","1","batch2"
"Health Impacts of Air Pollution","1","batch2"
"RBI Governance","1","batch2"
"Inflation Targeting","1","batch2"
"Monetary Policy Committee","1","batch2"
"Integrated Pest Management","1","batch2"
"Statement Evaluation","1","batch2"
"Syllogisms","1","batch2"
"Logical Reasoning","1","batch2"
"Profit & Loss","1","batch2"
"Biopesticides","1","batch2"
"Reverse Transactions","1","batch2"
"Percentage Change","1","batch2"
"Indian Association","1","batch2"
"Early Political Associations","1","batch2"
"Hunting Prohibitions","1","batch2"
"Madras Mahajana Sabha","1","batch2"
"Directive Principles","1","batch2"
"Preamble","1","batch2"
"Constitutional Philosophy","1","batch2"
"Protected Species","1","batch2"
"Ecological Interdependence","1","batch2"
"British Land Revenue Systems","1","batch2"
"Ryotwari Settlement","1","batch2"
"Pollination","1","batch2"
"Wildlife Protection Act (1972)","1","batch2"
"Biodiversity Loss","1","batch2"
"Trophic Interactions","1","batch2"
